ProductID,ProductName,Category,Price (BDT),StockQuantity,Supplier,RestockDate,Rating
P-1001,"Samsung TV 55""",Electronics,"65,000",15,Tech World Ltd.,2024-01-15,4.5
P-1002,LG Refrigerator,Appliances,"85,000",10,CoolElectro Inc.,2024-02-10,4.7
P-1003,Nike Air Max,Footwear,"12,500",30,Sporty Traders,2023-12-01,4.3
P-1004,Levi's Jeans,Clothing,"3,500",50,Style Hub,2023-11-28,4.2
P-1005,Apple iPhone 14,Electronics,"130,000",8,Gadget World,2024-03-05,4.8
P-1006,Dell Laptop,Electronics,"95,000",12,Tech World Ltd.,2024-01-25,4.6
P-1007,Adidas Running Shoes,Footwear,"10,500",25,Sporty Traders,2023-12-20,4.4
P-1008,Sony Headphones,Electronics,"7,800",40,SoundPro Ltd.,2024-02-28,4.7
P-1009,Bosch Washing Machine,Appliances,"48,000",5,CleanHome Supplies,2024-03-10,4.5
P-1010,Casio G-Shock,Accessories,"9,000",60,TimeZone Traders,2024-01-03,4.4
